V/VX,P
0.381801209,351.0479132
0.384287991,341.9350307
0.386162641,335.6568036
0.388037292,329.5016791
0.390045846,323.2542276
0.392188304,316.6836322
0.394537703,309.9811352
0.396473219,303.7650516
0.398883484,297.1513702
0.401025942,291.2270628
0.403302303,285.0434423
0.405712568,278.6922657
0.408122834,272.4368354
0.410533099,266.3409824
0.413077267,259.9898057
0.415755339,253.5556488
0.418433412,247.3512833
0.421245387,241.0320221
0.424191267,234.556085
0.427137146,228.4718376
0.430083026,222.3614776
0.433028905,216.5383567
0.435974785,210.8457991
0.438920664,205.3882553
0.441866544,200.1657254
0.444812423,195.125984
0.447758303,190.2690312
0.450704182,185.5948669
0.453650062,181.0512658
0.456698944,176.6943281
0.45954182,171.7290499
0.4624877,167.3160121
0.463426458,166.7800269
0.465229369,164.6577698
0.466565375,162.723283
0.467376512,161.1773511
0.46952417,159.2253135
0.469996882,157.6773741
0.471359095,155.5464734
0.472359265,153.9817906
0.474325495,151.8983471
0.475500021,150.0878908
0.477327391,147.9354036
0.478435461,146.1917085
0.47965415,144.5725183
0.480781814,142.7435258
0.482682124,141.2523859
0.483671138,139.230871
0.486222136,136.4293234
0.488973874,133.4942877
0.490686335,131.7147218
0.492276021,130.193064
0.500308121,121.8309225
0.502526612,120.1922112
0.503818322,118.6220785
0.505659011,116.5687173
0.507611258,114.883194
0.511017587,112.7552152
0.512477969,111.0591265
0.515033637,108.9739954
0.516119396,107.4270135
0.51812742,105.2337276
0.520302781,103.7145913
0.523233072,101.7403083
0.525073761,100.1761755
0.526663448,98.50568182
0.529089811,96.19285092
0.531350761,94.48523511
0.533836052,92.62738672
0.536452569,90.83428124
0.538505155,89.35654824
0.541673434,87.47216458
0.54431049,85.64188641
0.549015597,83.00632988
0.551698684,81.26059735
0.555039672,79.20620931
0.557871502,77.57234264
0.560960771,75.63709911
0.564007133,74.14337644
0.567087821,72.01601157
0.56942333,70.53478009
0.57364884,68.38048589
0.576613067,66.88833308
0.580562183,64.97943574
0.583975825,63.4364362
0.587322534,61.77776036
0.590416317,60.36318854
0.593930361,58.85804598
0.598701341,56.99359979
0.613572292,50.67166626
0.617442907,48.95127631
0.622881308,47.1520768
0.62687454,45.5668994
0.633172436,43.77355016
0.638527169,42.08428683
0.644216573,40.40545106
0.649905977,38.71514498
0.655930052,37.06529781
0.662154929,35.26341693
0.668647543,33.79188088
0.67567563,32.01866629
0.683038388,30.50799848
0.688865597,29.12179605
0.71413703,24.10922354
0.721860203,22.93827871
0.729222961,21.63055001
0.736585719,20.57433386
0.743026211,19.59874608
0.751311235,18.44995725
0.758673993,17.39203477
0.766036751,16.57527311
0.773399509,15.76974922
0.780762267,14.97002606
0.818096656,11.47361198
0.824938815,10.79196352
0.832301573,10.0927488
0.839664331,9.570233685
0.847027089,9.024209176
0.854389847,8.650954688
0.861752605,8.102792818
0.869115363,7.647634654
0.876478121,7.215502992
0.884414601,6.676791312
0.918646644,4.949501282
0.926009402,4.744742092
0.93337216,4.362524936
0.940734918,4.113401254
0.948097676,3.864277572
0.952727289,3.695506792
0.960145826,3.495711029
0.967508584,3.202222856
0.974819854,2.997813681
0.982807821,2.928235558
1.018336714,1.785167376
1.024649223,1.613235086
1.032898113,1.391741592
1.039797481,1.396340419
1.047160239,1.216058706
1.054945739,1.160977286
1.061829976,0.947985893
1.069876021,0.76876415
1.076188529,0.668986416
1.08417998,0.333494092
1.113281631,0.261565159
1.121412538,0.185022872
1.128150577,0.115710593
1.134885827,-0.181005094
1.142876093,-0.060273582
1.150238851,-0.265032773
1.158024351,-0.306343838
1.164336859,-0.405378135
1.172951844,-0.478892372
1.179388679,-0.511426332
1.185713958,-0.560658307
1.21918104,-0.804231975
1.226543798,-0.8746224
1.231898531,-0.845956113
