T,Vratio,S
8000,0.347078515,0.137582611
8000,0.367358394,0.148864215
8000,0.386180079,0.161661832
8000,0.407893066,0.177475011
8000,0.432506762,0.194035906
8000,0.44987966,0.20608169
8000,0.473041433,0.222646701
8000,0.491859982,0.236200267
8000,0.509236016,0.247490102
6000,0.347473639,0.042333111
6000,0.388074164,0.05506899
6000,0.44026812,0.07306358
6000,0.475054682,0.087327819
6000,0.525793579,0.106082474
6000,0.564932774,0.121090314
6000,0.643204892,0.15261789
6000,0.680889028,0.168385794
6000,0.730169731,0.188656462
6000,0.776549724,0.208179413
6000,0.83742072,0.234464741
6000,0.880900004,0.253239975
6000,0.935975854,0.276517973
6000,0.969307358,0.291542276
6000,1.033075928,0.319331269
6000,1.072208851,0.335851005
6000,1.122932069,0.358385402
6000,1.162064992,0.374905139
6000,1.227282349,0.403445964
4000,0.349101172,0
4000,0.46088354,0.003458704
4000,0.54070793,0.010791815
4000,0.566833131,0.012985575
4000,0.635039003,0.021107561
4000,0.668414409,0.025548587
4000,0.7424217,0.035166007
4000,0.777245894,0.040358865
4000,0.823676061,0.047786641
4000,0.867202383,0.055222649
4000,0.938299557,0.066360198
4000,0.961511505,0.070830034
4000,1.031150484,0.083483595
4000,1.081930148,0.092410921
4000,1.11094665,0.097620242
4000,1.161723178,0.107303516
4000,1.227006389,0.119969425
3000,0.350553095,0
3000,0.559629964,0
3000,0.77160127,0.001066011
3000,0.864511779,0.003826389
3000,0.931278272,0.008928697
3000,0.969028262,0.008821685
3000,1.0299902,0.013184509
3000,1.066281996,0.014593509
3000,1.128692721,0.019708165
3000,1.169334013,0.022616714
