P,T
14.33277124,2438.678682
15.13655886,2454.971354
15.94034648,2473.379956
16.74413409,2491.788559
17.54792171,2510.091365
18.35170933,2528.499967
19.15549694,2546.90857
19.92261026,2563.508181
20.68791759,2580.615196
21.5612389,2597.576987
22.37064741,2620.542981
23.17443503,2638.634193
23.97822264,2656.937
24.78201026,2675.451399
25.58579788,2694.071594
26.3895855,2712.3744
27.25020658,2731.596978
28.3576473,2754.885609
29.09323475,2773.524816
29.89702237,2791.933419
30.70080999,2810.342021
31.5045976,2828.433234
32.30838522,2846.73604
33.11217284,2864.827253
33.91596045,2882.918466
34.73801597,2902.219727
35.50667301,2916.260639
36.62874366,2946.806368
37.35032572,2960.14996
38.15411334,2978.135376
38.95790096,2994.851234
39.64477401,3009.54285
40.41933299,3028.494542
41.2231206,3046.479958
42.02690822,3064.147985
42.80024934,3078.35999
43.78062666,3103.610104
44.58441427,3123.394062
45.38820189,3139.686734
46.19198951,3155.979405
46.99577712,3173.435838
47.79956474,3190.786475
48.60335236,3208.348705
49.40713997,3225.699342
50.21092759,3242.944183
51.01471521,3260.29482
51.81850282,3277.751253
52.62229044,3294.890297
53.42607806,3311.923544
54.22986568,3329.379978
55.03365329,3346.413225
55.83744091,3363.446472
56.64122853,3380.585516
57.44501614,3397.618763
58.24880376,3414.334621
59.05259138,3431.367868
59.85637899,3448.189522
60.66016661,3465.116973
61.46395423,3481.938627
62.26774184,3498.654485
63.07152946,3515.476139
63.89967428,3531.16048
65.48289231,3565.200525
66.28667993,3581.70479
67.09046754,3598.209054
67.89425516,3614.501725
68.72848928,3629.498389
71.03633403,3678.085462
71.84012164,3693.954947
72.64390926,3709.824432
73.44769688,3725.799714
74.25148449,3741.774995
75.05527211,3757.432887
75.85905973,3773.302372
76.66284734,3788.854467
77.46663496,3804.618156
78.27042258,3820.064455
79.07421019,3835.61655
79.87799781,3851.274442
80.68178543,3866.614944
81.48557304,3881.955446
82.28936066,3897.190152
83.09314828,3912.424857
83.90911449,3926.451719
85.21222472,3950.845266
85.98228698,3966.877536
86.81979995,3982.462185
87.62358757,3997.485297
88.42737519,4012.296816
89.2311628,4027.108336
90.03495042,4041.814058
90.83873804,4056.519781
91.64252565,4070.802318
92.44631327,4085.296447
93.25010089,4099.68478
94.0538885,4113.86152
94.85767612,4128.03826
95.66146374,4142.109204
96.46525135,4156.180147
97.26903897,4170.039497
98.07282659,4184.004644
98.87661421,4197.652401
99.68040182,4211.300158
100.4841894,4224.947916
101.2879771,4238.595673
102.0917647,4252.031837
102.8955523,4265.362204
103.6993399,4278.692571
104.5031275,4292.022939
105.3069151,4305.24751
106.1107028,4318.260487
106.9144904,4331.590855
107.718278,4344.286443
108.5220656,4357.193624
110.8968927,4396.126761
111.9564309,4411.784652
112.7602185,4423.739664
113.5640061,4436.329456
114.3677937,4448.284468
115.1715813,4460.55687
115.975369,4472.300289
116.7791566,4483.937911
117.5829442,4495.787126
118.3867318,4507.424749
119.1905194,4518.956575
119.994307,4530.276807
120.7980947,4541.59704
121.6018823,4552.811476
122.4056699,4563.920115
123.2094575,4575.134552
124.0132451,4585.925801
124.8170327,4596.822848
125.6208204,4607.825691
126.424608,4618.405347
127.2283956,4628.985004
128.0321832,4639.353068
128.8359708,4649.615335
129.6397584,4659.771805
130.4435461,4669.716682
131.2473337,4679.661559
132.0511213,4689.289047
132.8549089,4698.810738
133.6980428,4708.199764
137.0199902,4747.159769
137.8237778,4755.729291
138.6275654,4764.298813
139.431353,4772.762538
140.2290514,4776.677011
142.2665312,4802.745285
142.9387899,4806.088457
143.4502911,4808.098592
