P,T
0.192488857,1403.218401
0.731838681,1466.584026
1.146161899,1513.884425
1.581534375,1578.885171
1.954710783,1628.964656
2.32788719,1678.764366
2.747710649,1731.585633
3.214181159,1781.721072
3.680651669,1832.304149
4.204533934,1882.611756
4.881035781,1932.873452
5.425251376,1980.472277
6.199592422,2031.652205
7.085886391,2080.295517
8.065474461,2124.367499
9.091709583,2166.893094
10.1179447,2203.314537
11.14417983,2235.259602
12.17041495,2263.949119
13.19665007,2290.196975
14.22288519,2312.578867
15.24912031,2333.943401
16.27535543,2353.476689
17.30159056,2372.399561
18.32782568,2389.287717
19.3540608,2403.937683
20.38029592,2417.773762
21.40653104,2430.999425
22.43276616,2444.021617
23.45900129,2456.026451
24.48523641,2487.564572
25.518648,2538.401206
26.07971742,2586.655314
26.58859434,2634.878119
27.23741242,2687.907943
28.07705933,2736.308786
29.0566474,2782.191666
30.08288253,2823.089487
31.10911765,2858.900515
32.13535277,2891.455995
33.16158789,2921.162871
34.18782301,2948.835029
35.21405813,2973.45511
36.24029326,2997.057833
37.26652838,3020.253613
38.2927635,3042.838977
39.31899862,3063.796567
40.34523374,3083.533327
41.37146886,3102.4562
42.39770399,3121.786016
44.63676243,3161.259535
45.66299755,3179.165049
46.68923268,3196.66362
47.7154678,3212.534416
48.74170292,3229.422572
49.76793804,3245.700312
50.79417316,3261.164164
51.82040828,3276.424546
52.84664341,3291.684927
53.87287853,3306.741836
54.89911365,3321.798746
55.92534877,3336.855655
56.95158389,3351.505621
57.97781901,3365.952116
59.00405414,3380.195138
60.03028926,3394.641632
61.05652438,3408.27424
62.0827595,3421.703375
63.10899462,3435.946398
64.13522974,3449.782477
65.16146487,3463.211612
66.18769999,3476.437276
67.21393511,3489.459468
68.24017023,3502.278188
69.26640535,3515.707323
70.29264047,3528.932987
71.3188756,3541.955179
72.34511072,3554.366956
73.37134584,3566.982204
74.39758096,3579.597453
75.42381608,3592.416173
76.4500512,3604.624478
77.47628633,3617.036255
78.50252145,3629.651503
79.52875657,3642.266752
80.55499169,3656.102831
81.58122681,3667.619332
82.60746193,3679.027315
83.63369706,3691.466221
84.65993218,3703.145499
85.6861673,3715.516582
86.71240242,3727.887664
87.73863754,3739.159999
88.76487266,3750.879972
89.79110778,3762.193001
90.81734291,3773.709502
91.84357803,3785.307392
92.86981315,3797.719169
93.89604827,3809.52053
94.92228339,3821.728835
95.94851851,3832.919781
96.97475364,3845.331558
98.00098876,3856.725976
99.02722388,3868.323866
100.053459,3880.125227
101.0796941,3891.112702
102.1059292,3902.50712
103.1321644,3913.901538
104.1583995,3925.295956
105.1846346,3935.876487
106.2108697,3947.474376
107.2371049,3957.851436
108.26334,3970.263212
109.2895751,3981.861102
110.3158102,3992.400939
111.3420453,4004.120912
112.3682805,4015.596718
113.3945156,4026.543498
114.4207507,4037.69375
115.4469858,4049.196687
116.4732209,4060.116337
117.4994561,4071.429366
118.5256912,4083.393505
119.5519263,4093.160149
120.5781614,4103.944152
121.6043966,4113.914268
122.6306317,4125.105214
123.6568668,4136.499632
124.6831019,4147.487106
125.709337,4158.271109
126.7355722,4168.648168
127.7618073,4180.042586
128.7880424,4190.623117
129.8142775,4201.814064
130.8405127,4212.598066
131.8667478,4223.585541
132.8929829,4234.573015
133.919218,4245.357018
134.9454531,4256.547964
135.9716883,4266.721552
136.9979234,4277.912498
138.0241585,4288.696501
139.0503936,4299.277032
139.9289131,4306.837912
