P,T
0.120999297,1983.815288
1.157211077,2041.996345
1.783065636,2075.853132
2.408920196,2108.356765
3.139083848,2141.256903
3.921402048,2171.8731
4.755874794,2204.408594
5.642502086,2236.250104
6.581283925,2267.001832
7.676529404,2297.939374
8.82392943,2325.569806
9.971329455,2351.133602
11.11872948,2373.20995
12.26612951,2390.248873
13.41352953,2407.416961
14.45662046,2431.804907
15.44755685,2461.85363
16.54280233,2492.765339
17.69020236,2515.229181
18.83760238,2528.263997
19.98500241,2539.232177
21.13240243,2550.846181
22.27980246,2561.943526
23.2185843,2575.607681
23.79228431,2611.528521
24.20952068,2643.492859
24.59546433,2678.299117
24.7832207,2695.347093
25.09614797,2739.673481
32.33519905,3047.353117
33.23225725,3077.150138
34.17103909,3109.030623
35.05766638,3139.609189
35.94429367,3170.740292
36.88307551,3201.989305
37.82185735,3231.817506
38.81279374,3263.113387
39.85588467,3294.219335
40.8989756,3323.90447
41.94206653,3353.589606
43.03731201,3384.914642
44.18471204,3414.61171
45.33211206,3444.308778
46.47951209,3473.876681
47.62691211,3501.377948
48.77431214,3527.845898
49.92171217,3553.668023
51.06911219,3579.102655
52.21651222,3603.503968
53.36391224,3627.776117
54.51131227,3651.273277
55.65871229,3673.866284
56.80611232,3695.555138
57.95351234,3715.952344
59.10091237,3737.382869
60.2483124,3757.263416
61.39571242,3776.627304
62.54311245,3795.732863
63.69051247,3813.030116
64.8379125,3832.135675
65.98531252,3848.916268
67.13271255,3865.180203
68.28011258,3882.60662
69.4275126,3897.578907
70.57491263,3913.584512
71.72231265,3928.944293
72.86971268,3943.399922
74.0171127,3958.759703
75.16451273,3972.311178
76.31191275,3986.120982
77.45931278,3999.672457
78.60671281,4012.707273
79.75411283,4024.062947
80.90151286,4036.839433
82.04891288,4048.582602
83.19631291,4060.842429
84.34371293,4071.681445
85.49111296,4082.778789
86.63851298,4094.263628
87.78591301,4104.327655
88.93331304,4114.391682
90.08071306,4125.230697
91.22811309,4134.39057
92.37551311,4143.679609
93.52291314,4153.356141
94.67031316,4161.999356
95.81771319,4171.675888
96.96511322,4179.802444
98.11251324,4188.445658
99.25991327,4196.313885
100.4073133,4204.957099
101.5547133,4213.600314
102.7021133,4220.435222
103.8495134,4227.399295
104.9969134,4235.396686
106.1443134,4242.360758
107.2917134,4248.679008
108.4391135,4256.547234
109.5865135,4262.736318
110.7339135,4269.571226
111.8813135,4275.243652
113.0287136,4281.561901
114.1761136,4286.975997
115.3235136,4293.423411
116.4709137,4298.579177
117.6183137,4305.155756
118.7657137,4310.053193
119.9131137,4315.079794
121.0605138,4320.881384
122.2079138,4325.804654
123.3553138,4330.805423
124.5027138,4336.090354
125.6501139,4340.212803
126.7975139,4345.626899
127.9449139,4348.19937
129.0923139,4354.00096
130.239714,4357.735915
131.387114,4361.858363
132.534514,4366.497471
133.681914,4370.36159
134.8293141,4375.90485
