P,T
0.004016102,1401.220923
0.350819375,1430.242815
0.539378664,1464.137556
0.769198743,1496.931124
1.058231408,1532.138081
1.365829263,1571.705541
1.522292903,1598.699496
2.026453521,1667.36733
2.408920196,1708.448875
2.669692929,1739.704283
3.003482027,1777.139536
3.316409307,1815.782676
3.673667951,1859.220639
3.921402048,1899.415447
4.286483874,1932.564288
4.599411154,1967.016032
5.016647527,2004.308416
5.486038446,2041.103024
6.007583912,2078.891709
6.529129379,2110.42882
7.102829391,2141.633916
7.780838497,2171.633721
8.563156697,2202.655865
9.554093082,2233.468455
10.70149311,2262.648864
11.84889313,2285.629365
12.99629316,2303.314112
14.14369318,2315.573939
15.25316263,2328.738278
16.02125686,2372.499429
16.9600387,2401.571093
18.10743873,2417.189204
19.25483875,2418.211699
20.40223878,2413.550944
21.5496388,2420.127523
22.69703883,2421.020853
23.63582067,2435.146311
24.26167523,2469.442873
24.61632615,2506.94897
24.83537524,2542.964493
25.40907525,2579.443508
26.13923891,2610.288543
26.92155711,2641.691261
27.70387531,2674.007359
28.43403896,2703.837528
29.21635716,2735.798423
29.99867536,2764.511747
30.78099356,2794.214565
31.6154663,2824.754156
32.50209359,2855.826059
33.44087543,2887.390808
34.37965727,2917.061141
35.31843911,2948.783758
36.25722095,2978.927694
37.24815734,3008.802763
38.29124827,3039.624548
39.38649375,3071.466243
40.53389377,3102.454959
41.6812938,3133.702004
45.12349388,3220.209913
46.2708939,3247.452851
47.41829393,3272.887482
48.56569395,3298.580443
49.71309398,3322.723427
50.860494,3346.737246
52.00789403,3369.846912
53.15529406,3392.310754
54.30269408,3414.774597
55.45009411,3435.688462
56.59749413,3456.343998
57.74489416,3475.320392
58.89229418,3495.588434
60.03969421,3514.306498
61.18709423,3532.249575
62.33449426,3550.580145
63.48189429,3567.102409
64.62929431,3584.528826
65.77669434,3600.792761
66.92409436,3616.152542
68.07149439,3632.158147
69.21889441,3646.74294
70.36629444,3661.715227
71.51369447,3675.654196
72.66109449,3689.464001
73.80849452,3703.14464
74.95589454,3717.083609
76.10329457,3729.472601
77.25069459,3742.507417
78.39809462,3754.379751
79.54549464,3765.864589
80.69289467,3777.995252
81.8402947,3788.188444
82.98769472,3799.673283
84.13509475,3810.253968
85.28249477,3820.705489
86.4298948,3831.802834
87.57729482,3841.221037
88.72469485,3850.251746
89.87209488,3860.186608
91.0194949,3869.346481
92.16689493,3878.118861
93.31429495,3886.632911
94.46169498,3895.40529
95.609095,3904.435999
96.75649503,3911.787566
97.90389505,3919.914121
99.05129508,3926.878194
100.1986951,3935.650573
101.3460951,3943.002141
102.4934952,3949.707884
103.6408952,3956.542792
104.7882952,3963.765194
105.9356952,3970.341773
107.0830953,3976.660022
108.2304953,3983.75326
109.3778953,3989.296521
110.5252953,3995.873099
111.6726954,4002.062184
112.8200954,4007.347115
113.9674954,4012.502881
115.1148954,4018.562801
116.2622955,4024.751885
117.4096955,4029.003499
118.5570955,4035.192583
119.7044955,4039.573361
120.8518956,4044.083304
121.9992956,4049.109905
123.1466956,4052.974024
124.2940956,4058.904779
125.4414957,4061.73558
126.5888957,4067.278841
127.7362957,4071.530454
128.8836957,4075.394573
130.0310958,4078.225374
131.1784958,4083.768635
132.3258958,4086.599436
133.4732958,4091.496873
134.6206959,4094.715168
135.4030141,4094.158838
