,P,T,S/kB
0,20.0,2379.105508666486,4.80034899591694
1,20.05,2382.8965499738083,4.806248835186437
2,20.1,2386.6723046103334,4.812107765334305
3,20.15,2390.4329180949635,4.81792626624968
4,20.2,2394.178534271595,4.823704810611544
5,20.25,2397.909295309114,4.829443863980204
6,20.3,2401.625341701401,4.835143884886962
7,20.35,2405.326812267328,4.8408053249219964
8,20.4,2409.0138441507593,4.846428628820527
9,20.45,2412.6865728205526,4.852014234547275
10,20.5,2416.3451320705567,4.857562573379284
11,20.55,2419.9896540196137,4.8630740699871255
12,20.6,2423.620269111557,4.868549142514523
13,20.65,2427.237106115213,4.873988202656446
14,20.7,2430.8402921244015,4.879391655735714
15,20.75,2434.4299525579327,4.884759900778109
16,20.8,2438.0062111596108,4.890093330586091
17,20.85,2441.569189998231,4.895392331811075
18,20.9,2445.119009467582,4.900657285024374
19,20.95,2448.6557882864445,4.905888564786799
20,21.0,2452.1796434985918,4.911086539716948
21,21.05,2455.690690472789,4.916251572558228
22,21.1,2459.189042902794,4.921384020244627
23,21.15,2462.6748128073564,4.92648423396528
24,21.2,2466.1481105302196,4.931552559227833
25,21.25,2469.609044740118,4.936589335920652
26,21.3,2473.0577224307794,4.9415948983739
27,21.35,2476.4942489209225,4.946569575419491
28,21.4,2479.91872785426,4.951513690449972
29,21.45,2483.331261199496,4.95642756147634
30,21.5,2486.731949250328,4.961311501184816
31,21.55,2490.120890625444,4.966165816992607
32,21.6,2493.4981822685263,4.970990811102683
33,21.65,2496.8639194482485,4.975786780557571
34,21.7,2500.218195758277,4.98055401729221
35,21.75,2503.5611031172702,4.985292808185869
36,21.8,2506.89273176888,4.990003435113171
37,21.85,2510.2131702817483,4.994686174994205
38,21.9,2513.5225055495116,4.999341299843795
39,21.95,2516.820822790798,5.003969076819894
40,22.0,2520.1082055492284,5.008569768271166
41,22.05,2523.3847356934148,5.013143631783735
42,22.1,2526.6504934169634,5.017690920227152
43,22.15,2529.905557238471,5.022211881799569
44,22.2,2533.1500040015276,5.026706760072158
45,22.25,2536.3839088747163,5.031175794032769
46,22.3,2539.6073453516115,5.035619218128874
47,22.35,2542.82038528819,5.0400372623733976
48,22.4,2546.023121895926,5.044430191433628
49,22.45,2549.215646691659,5.04879826529518
50,22.5,2552.3980322949087,5.053141710177454
51,22.55,2555.5703506596105,5.0574607496156
52,22.6,2558.732673074113,5.061755604487497
53,22.65,2561.885070161178,5.066026493040335
54,22.7,2565.027611877984,5.070273630916748
55,22.75,2568.160367516121,5.074497231180581
56,22.8,2571.2834057015934,5.078697504342232
57,22.85,2574.396794394822,5.082874658383601
58,22.9,2577.5006008906385,5.087028898782682
59,22.95,2580.5948918182908,5.091160428537746
60,23.0,2583.6797331414405,5.0952694481911776
61,23.05,2586.755190158163,5.099356155852936
62,23.1,2589.8213275009475,5.103420747223664
63,23.15,2592.878209136698,5.107463415617454
64,23.2,2595.9258983667323,5.1114843519842506
65,23.25,2598.9644578267817,5.115483744931944
66,23.3,2601.993949486993,5.119461780748113
67,23.35,2605.0144346519255,5.123418643421436
68,23.4,2608.0259739605535,5.127354514662826
69,23.45,2611.0286273862653,5.131269573926186
70,23.5,2614.0224542368633,5.135163998428914
71,23.55,2617.0075131545636,5.139037963172081
72,23.6,2619.983862115997,5.142891640960312
73,23.65,2622.951558432207,5.146725202421384
74,23.7,2625.910658748654,5.150538816025527
