,P,T,S/kB
0,20.0,2182.6656042811796,4.420030939291267
1,20.05,2186.1436238291817,4.426075221706128
2,20.1,2189.6076189085625,4.432077802820423
3,20.15,2193.0577230229023,4.438039171736766
4,20.2,2196.4940681390776,4.443959810197804
5,20.25,2199.9167846872606,4.449840192679942
6,20.3,2203.326001560918,4.455680786485222
7,20.35,2206.7218461168145,4.461482051831392
8,20.4,2210.104444175008,4.467244441940213
9,20.45,2213.4739200188556,4.472968403124056
10,20.5,2216.830396395006,4.478654374870783
11,20.55,2220.173994513407,4.484302789927044
12,20.6,2223.5048340472995,4.48991407437991
13,20.65,2226.823033133223,4.495488647736991
14,20.7,2230.1287083710104,4.501026923004996
15,20.75,2233.421974823791,4.506529306766823
16,20.8,2236.7029460179915,4.511996199257164
17,20.85,2239.9717339433314,4.517427994436723
18,20.9,2243.2284490528273,4.522825080065003
19,20.95,2246.473200262793,4.528187837771789
20,21.0,2249.7060949528363,4.533516643127222
21,21.05,2252.9272389658613,4.538811865710673
22,21.1,2256.1367366080676,4.544073869178272
23,21.15,2259.3346906489505,4.549303011329249
24,21.2,2262.521202321302,4.554499644171022
25,21.25,2265.696371321209,4.55966411398315
26,21.3,2268.860295808054,4.564796761380087
27,21.35,2272.0130724045157,4.569897921372838
28,21.4,2275.1547961965684,4.5749679234294796
29,21.45,2278.2855607334827,4.580007091534639
30,21.5,2281.4054580278234,4.5850157442478805
31,21.55,2284.514578555453,4.5899941947610765
32,21.6,2287.6130112555284,4.594942750954764
33,21.65,2290.700843530503,4.599861715453529
34,21.7,2293.7781612461254,4.604751385680389
35,21.75,2296.8450487314403,4.609612053910273
36,21.8,2299.9015887787887,4.614444007322542
37,21.85,2302.9478626438054,4.619247528052627
38,21.9,2305.983950045423,4.624022893242773
39,21.95,2309.0099291658694,4.6287703750919205
40,22.0,2312.025876650668,4.633490240904726
41,22.05,2315.031867608637,4.638182753139777
42,22.1,2318.027975611893,4.642848169456981
43,22.15,2321.0142726958447,4.647486742764142
44,22.2,2323.9908293591993,4.652098721262812
45,22.25,2326.9577145639596,4.656684348493307
46,22.3,2329.914995735423,4.661243863379046
47,22.35,2332.862738796505,4.665777500334434
48,22.4,2335.8010292623176,4.670285528776886
49,22.45,2338.729951093265,4.674768213354135
50,22.5,2341.6495709127603,4.679225784551797
51,22.55,2344.5599547335873,4.6836584701166215
52,22.6,2347.4611679579016,4.688066495084171
53,22.65,2350.3532753772274,4.692450081806029
54,22.7,2353.2363411724623,4.6968094499766355
55,22.75,2356.110428913872,4.701144816659672
56,22.8,2358.9756015610947,4.705456396314056
57,22.85,2361.831921463139,4.709744400819548
58,22.9,2364.6794503583837,4.714009039501938
59,22.95,2367.5182493745783,4.718250519157881
60,23.0,2370.348379028844,4.722469044079328
61,23.05,2373.169899227672,4.726664816077623
62,23.1,2375.9828692669244,4.7308380345071885
63,23.15,2378.787347831833,4.734988896288907
64,23.2,2381.5833929970017,4.739117595933115
65,23.25,2384.3710622264052,4.743224325562269
66,23.3,2387.150412373388,4.747309274933281
67,23.35,2389.9214996806654,4.751372631459506
68,23.4,2392.684379780324,4.755414580232422
69,23.45,2395.4391076938214,4.759435304042978
70,23.5,2398.1857378319846,4.76343498340264
71,23.55,2400.9243239950124,4.767413796564124
72,23.6,2403.654919372474,4.771371919541818
73,23.65,2406.3775765433093,4.77530952613193
74,23.7,2409.0923474758292,4.779226787932321
75,23.75,2411.799283527715,4.783123874362077
76,23.8,2414.4984354460184,4.787000952680761
77,23.85,2417.1898533671633,4.790858188007438
78,23.9,2419.873586816942,4.794695743339391
79,23.95,2422.5496847105196,4.798513779570585
80,24.0,2425.2181953524305,4.802312455509871
81,24.05,2427.8791664365813,4.806091927898928
82,24.1,2430.532645046248,4.809852351429951
83,24.15,2433.1786776540775,4.813593878763103
84,24.2,2435.817310122088,4.817316660543698
85,24.25,2438.448587701669,4.821020845419179
86,24.3,2441.0725550335787,4.824706580055824
87,24.35,2443.689256147947,4.828374009155246
88,24.4,2446.298734464275,4.832023275470652
89,24.45,2448.9010327914357,4.835654519822896
90,24.5,2451.4961933276686,4.839267881116273
91,24.55,2454.084257660589,4.842863496354155
92,24.6,2456.66526676718,4.846441500654351
93,24.65,2459.2392610137954,4.850002027264306
94,24.7,2461.8062801561605,4.8535452075760785
95,24.75,2464.366363339372,4.857071171141107
96,24.8,2466.919552440856,4.8605800515264805
97,24.85,2469.465893044092,4.864071987990891
98,24.9,2472.0054250368626,4.867547109063863
99,24.95,2474.5381877661957,4.871005541590761
100,25.0,2477.064220183486,4.874447410998383
101,26.11,2531.4851609177776,4.946835122242453
102,27.22,2582.9802485062696,5.0123003345154
103,28.33,2631.893524020669,5.071858039551574
104,29.44,2678.571461009794,5.126421941559885
105,30.55,2723.1667737156395,5.176519337240872
106,31.66,2765.8098253338317,5.222593905973757
107,32.77,2806.625090792709,5.265040555145449
108,33.88,2845.7311567533193,5.304211781412571
109,34.99,2883.240721609424,5.340422963392875
110,36.1,2919.2605954874957,5.373956790064908
111,37.21,2953.8917002467188,5.40506698548946
112,38.32,2987.229069478988,5.433981457133494
113,39.43,3019.3618485089128,5.460904969410606
114,40.54,3050.3732943938107,5.486021424124631
115,41.650000000000006,3080.340775923714,5.509495813904266
116,42.760000000000005,3109.335773621363,5.5314759024214615
117,43.870000000000005,3137.4238797422136,5.552093675406367
118,44.980000000000004,3164.6647982744307,5.571466598652069
119,46.09,3191.112344938892,5.58969871289155
120,47.2,3216.8144471891865,5.606881590305342
121,48.31,3241.8131442116146,5.6230951732264245
122,49.42,3266.1445869251897,5.638408512153174
123,50.53,3289.8390379816346,5.652880417315133
124,51.64,3312.920871765386,5.666560035636602
125,52.75,3335.413739704961,5.679493524544959
126,53.86,3357.3422569760633,5.691726249244468
127,54.97,3378.7240997054055,5.703293611200671
128,56.08,3399.5764828699685,5.714229045948395
129,57.190000000000005,3419.9162309062463,5.7245642278349465
130,58.300000000000004,3439.759777710247,5.734329179681021
131,59.410000000000004,3459.123166637492,5.743552373274063
132,60.52,3478.022050503017,5.752260821553052
133,61.63,3496.471691581369,5.760480163251867
134,62.74,3514.486961606612,5.768234740691729
135,63.85,3532.08234177232,5.775547671334171
136,64.96000000000001,3549.271922731584,5.782440913655145
137,66.07,3566.0694045970044,5.788935327835387
138,67.18,3582.4880969407,5.795050731718447
139,68.29,3598.540918794299,5.800805952442514
140,69.4,3614.2403986489458,5.806218874113505
141,70.51,3629.5986744552965,5.811306481852253
142,71.62,3644.6274936235222,5.816084902517612
143,72.73,3659.3382130233067,5.820569442379624
144,73.84,3673.7417989838477,5.8247746219919865
145,74.95,3687.8488272938566,5.828714208490763
